Method	AP	AP50	AP75	APs	APm	APl	AP-Person	AP-Other	AP-Car
R50-FPN_x3	1.5836589790752684	2.0354973222822563	1.713198555073767	0.9314230681403228	1.4753637586708692	1.8334652562279876	0.3050092405565333	nan	2.8623087175940034
R50-DC5_x1	1.3339896759162868	1.8767095119491757	1.495757367915491	0.4170381913154986	1.8556502674619673	1.6063261295482407	0.839078363617387	nan	1.828900988215187
X101-FPN_x3	1.3603788555818173	1.8171767517136297	1.5099926335005283	0.8575314395503089	1.737644099960246	1.7059926491937119	0.24110927755565154	nan	2.479648433607983
R50-FPN_x1	1.5115011985300666	2.06724388465008	1.7166218547691976	0.7435058171501898	1.4968495065633822	1.5023881768765537	0.8253965676955743	nan	2.197605829364559
R101-FPN_x3	1.4786502988472183	1.908352200342518	1.5851457758894336	1.0056595142717835	1.3176871310399672	1.7307201592932264	0.11312067415455669	nan	2.8441799235398793
R50-C4_x1	1.614492689651636	2.1947405622628424	1.8138013288057344	0.5558264058567846	1.6082118262798804	2.256864684494574	0.5046608105918696	nan	2.7243245687114026
