Method	AP	AP50	AP75	APs	APm	APl	AP-Person	AP-Other	AP-Car
R50-FPN_x3	18.301827861518017	28.895244993520663	19.479224410558	15.498418426864163	24.08238458924993	19.213695255470487	14.1413123109844	nan	22.462343412051634
R50-DC5_x1	16.622686698995874	27.883985321643245	16.97504624176436	12.829869050392432	23.03605309845356	18.307468774139693	13.2400660091605	nan	20.005307388831252
X101-FPN_x3	18.461344317164958	28.344010918109603	19.825678308237656	16.14429994162855	24.988165644003793	18.382812049876605	14.062674107610148	nan	22.860014526719763
R50-FPN_x1	17.886168159985964	28.778504897632562	19.063439625452716	14.802092212434436	23.93824295133756	19.226931479018745	14.028226244783987	nan	21.744110075187947
R101-FPN_x3	18.00736737461208	28.50285563248845	19.225657994830403	15.298342418317157	23.666742608934737	18.690456564559497	14.193743740879547	nan	21.82099100834462
R50-C4_x1	17.411078544116556	28.08216455630712	18.042792467145244	13.370649045761427	25.33150837103446	17.652826843273473	14.152883465964766	nan	20.669273622268346
