Class_names,person,traffic light,parking meter,bird,horse,backpack,bowl,chair,potted plant
person,145,12,12,0,38,12,0,0,0
traffic light,12,1,1,0,3,1,0,0,0
parking meter,12,1,1,0,3,1,0,0,0
bird,0,0,0,1,0,0,1,2,1
horse,38,3,3,0,13,3,0,0,0
backpack,12,1,1,0,3,1,0,0,0
bowl,0,0,0,1,0,0,1,2,1
chair,0,0,0,2,0,0,2,4,2
potted plant,0,0,0,1,0,0,1,2,1
