Method	AP	AP50	AP75	APs	APm	APl	AP-Person	AP-Other	AP-Car
R50-FPN_x3	58,81486752079393	82,39015300337647	67,25800689094432	41,08847511861519	68,88517425042913	67,36482481042513	48,29684076277177	nan	69,3328942788161
R50-DC5_x1	53,687227609416176	80,18033047656955	60,061737066293915	34,715407974122854	64,47151230480087	62,801329650367634	42,820550492691936	nan	64,55390472614042
X101-FPN_x3	60,05246282009386	82,42023199552898	68,63081601385234	41,68194216613899	69,69207307255087	68,35193589640795	49,01752518418213	nan	71,08740045600558
R50-FPN_x1	56,80694831977468	81,79566571184365	63,72476060234027	40,0780212031182	65,93268390560715	65,90020309656173	46,111030313079056	nan	67,50286632647033
R50-DC5_x3	56,00873818077322	81,72753184290006	62,247202027625505	36,52009986381638	66,94517375787551	63,24651521014456	45,702881165175036	nan	66,3145951963714
R101-FPN_x3	57,26437465236075	80,35065899312114	64,85053114866794	38,745610267316614	67,68052840711577	63,51195284307949	46,059480793545134	nan	68,46926851117638
R50-C4_x3	57,15756164692786	81,89083763323937	64,25475459465714	37,30770485511107	68,80329184894751	64,64836626007852	47,21853906313761	nan	67,09658423071812
R101-DC5_x3	56,34943235803755	81,11588319020306	63,47886342208636	37,13885984092615	67,16297079859417	64,79141278404735	45,74871098467511	nan	66,95015373139998
