Method	AP	AP50	AP75	APs	APm	APl	AP-Person	AP-Other	AP-Car
R50-FPN_x3	53,02021312647358	80,71901204396309	58,50824498883939	32,1163616230263	63,30492734369305	72,34558872543663	38,44318990320462	nan	67,59723634974256
R50-DC5_x1	45,87685746173081	76,97995765869211	46,7322586023977	23,931385225989768	56,09858050631894	68,99669664374207	29,968104312192285	nan	61,785610611269334
X101-FPN_x3	54,090138408999486	80,82716723436391	60,16756625724917	31,765098931498333	64,34327713348303	75,6465889518189	39,51785527745659	nan	68,66242154054241
R50-FPN_x1	50,977922920513116	79,92958776018916	55,528195875631155	31,13656082212915	60,605954548403474	69,55385440963902	36,22409217362617	nan	65,73175366740006
R50-DC5_x3	48,765856044374914	79,10426839029921	51,7524949286932	26,215005058433675	59,10521909077193	72,75857353145838	33,69302263626289	nan	63,83868945248695
R101-FPN_x3	51,42914065311489	78,3498062589205	57,67571794193246	29,42445977458829	62,14654713476392	73,68083141201271	36,58943505706484	nan	66,26884624916495
R50-C4_x3	48,98877829267929	79,39998246723064	52,322478188851285	26,71740866513625	59,39909772423194	72,3129993791625	34,49101215312675	nan	63,48654443223182
R101-DC5_x3	49,28209705464978	78,59888967596102	52,761404509324116	26,366054718117553	59,536006995723824	74,23815974454551	33,8754999298122	nan	64,68869417948736
